id,target
0,8.045728
5,8.367735
15,8.409874
16,8.522811
17,8.156677
19,8.284788
20,8.466765
21,7.8752813
23,8.15918
29,8.321654
31,8.289238
32,7.7820306
33,8.4135
34,8.238904
35,8.442078
37,8.388153
38,8.211092
39,8.333165
40,8.473594
44,7.9513006
49,8.001471
53,8.336732
56,8.165594
60,8.287854
61,7.5567017
63,8.206645
64,8.379793
66,8.445665
70,8.148466
71,8.357319
72,8.585505
75,8.072348
76,8.089781
78,8.266703
85,8.423967
86,7.85717
89,8.459802
90,8.430801
92,7.773427
93,8.234096
94,8.407326
100,8.0556555
101,8.31042
102,8.452699
105,7.9176955
106,8.406087
107,8.316163
108,8.161768
109,8.28137
112,8.387524
113,8.21535
116,8.253095
117,8.297865
118,8.402001
120,8.000592
129,8.353915
130,8.125007
132,8.173166
133,8.436987
134,8.240941
136,8.378748
137,8.235888
141,7.982506
142,8.354729
152,8.005407
154,8.210617
156,8.266958
160,7.870894
161,8.13949
166,8.257606
170,8.235982
173,8.069274
174,7.953944
175,8.187304
179,8.381276
182,8.079598
186,8.0920105
188,8.226468
189,8.323895
191,8.133958
193,8.32667
194,8.114023
195,7.9791284
196,8.013565
197,8.230016
199,8.23189
200,8.066587
202,8.465648
203,8.391382
204,8.407381
206,8.072053
207,8.505247
212,7.933432
217,7.997161
218,8.016109
220,8.631376
224,7.917259
225,8.222426
229,8.434423
230,8.389128
234,8.102947
235,8.232355
238,8.114977
239,8.445307
241,8.172503
243,8.114742
245,7.7204576
247,8.161903
251,8.3426075
252,7.959755
253,8.375264
255,8.190344
256,8.282457
258,8.629057
259,8.495154
260,8.084743
263,7.7412744
264,8.427086
266,8.26045
267,8.231948
268,8.388692
270,8.464193
273,8.162012
274,8.358935
275,8.131165
276,8.011537
277,8.392274
281,8.340696
282,8.196782
285,8.229322
292,8.245553
293,7.9636827
295,8.133638
298,8.181394
299,8.437266
300,8.403719
301,7.9453263
302,7.869654
309,8.1505575
311,8.371428
316,8.3214245
317,8.013975
319,8.1913
321,8.155466
322,8.323778
324,8.40824
328,7.958908
329,8.387266
331,8.370565
334,8.158088
337,7.999317
338,8.244355
340,8.569474
344,8.200697
349,7.801963
350,7.76697
351,8.52758
354,8.101234
356,8.361777
358,7.967912
361,8.646161
364,8.297745
365,8.572084
370,7.9172225
372,8.211092
374,8.351867
375,7.816144
376,8.3279
379,8.25523
380,8.386453
382,8.07495
383,8.367052
385,8.432981
389,8.28752
392,8.474058
394,8.112509
395,8.427274
398,7.8832955
400,8.087911
402,8.429841
403,8.205945
406,8.588094
410,8.121193
412,8.366295
413,8.2105665
417,8.211625
418,8.301727
419,8.455058
420,8.239667
423,8.237581
424,8.444258
426,8.33309
427,8.020538
432,8.02034
434,8.032776
438,8.496896
441,8.2366085
443,8.351993
448,8.446169
449,8.373514
451,8.252971
452,8.13746
457,8.649266
458,8.15157
459,8.41168
464,8.320784
465,8.316956
467,8.120532
471,8.160703
472,7.831903
477,8.117211
478,8.270294
480,8.3149805
483,8.269249
487,8.254156
489,8.222664
491,8.173861
492,8.001782
496,8.170626
500,8.299627
501,8.103171
502,8.303689
503,8.241043
505,8.064728
506,7.9835777
514,8.022832
517,7.966916
519,8.126455
522,8.155116
523,8.462683
528,8.222137
530,8.039009
532,8.117402
535,8.207471
538,8.052522
542,8.476524
546,8.135074
548,7.900897
550,8.127153
555,8.539752
557,8.1381855
559,8.16652
560,8.493163
562,8.2593565
566,8.233666
567,8.300962
569,8.279135
571,8.31048
572,8.311157
574,8.223669
577,8.357819
581,8.413737
583,8.493887
587,8.26314
590,8.001446
592,8.280126
593,8.2763195
608,8.583781
